nx_date,nt_trade_date,nt_accounting_date,nt_fund_code,nt_security_description,nt_security_currency,nt_gti_code,nt_quotation_name,nt_issuer_country_name,nt_bloomberg_code,nt_transaction_quantity,nt_transaction_price
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,FASTENAL CO,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),FAST UW,3237,208.53
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,TEMENOS AG - REG,CHF,S01,SIX Swiss Exchange,SWITZERLAND,TEMN SE,543,258.96
2/15/2024,2/14/2024 0:00:00,"Thursday, February 15",NGT6144,FORTIVE CORP,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),FTV UN,4137,250.74
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,HIKMA PHARMACEUTICALS PLC,GBP,S01,LSE SETS,GREAT-BRITAIN,HIK LN,31872,59.925
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,DEUTSCHE BOERSE AG,EUR,S01,XETRA FRANKFURT,GERMANY,DB1 GY,1563,560.4
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT6144,KERRY GROUP PLC-A,EUR,S01,EURONEXT - IRISH MAIN SECURITIES MARKET,IRELAND,KYGA ID,528,242.4
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,PROGRESSIVE CORP,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),PGR UN,4416,548.16
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,STMICROELECTRONICS NV,EUR,S01,EURONEXT MILAN,SWITZERLAND,STMMI IM,59496,122.985
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,CENTENE CORP,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),CNC UN,1386,226.68
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT6144,HCA HEALTHCARE INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),HCA UN,396,939.6
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,TORONTO-DOMINION BANK,CAD,S01,TSX Toronto Stock Exchange,CANADA,TD CT,12045,239.64
2/1/2024,1/31/2024 0:00:00,"Thursday, February 1",NGT6144,PPG INDUSTRIES INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),PPG UN,3033,423.12
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,STMICROELECTRONICS NV,EUR,S01,EURONEXT MILAN,SWITZERLAND,STMMI IM,59496,122.985
2/1/2024,1/31/2024 0:00:00,"Thursday, February 1",NGT6144,SAGE GROUP PLC/THE,GBP,S01,LSE SETS,GREAT-BRITAIN,SGE LN,29043,35.34
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,ADP,EUR,S01,EURONEXT PARIS,FRANCE,ADP FP,4212,389.4
1/19/2024,1/18/2024 0:00:00,"Friday, January 19",NGT6144,AVERY DENNISON CORP,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),AVY UN,282,595.47
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,UNIVERSAL MUSIC GROUP NV,EUR,S01,EURONEXT AMSTERDAM,NETHERLANDS,UMG NA,1665,81.84
1/29/2024,1/26/2024 0:00:00,"Monday, January 29",NGT6144,HILTON WORLDWIDE HOLDINGS IN,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),HLT UN,2310,577.89
1/29/2024,1/26/2024 0:00:00,"Monday, January 29",NGT6144,SHERWIN-WILLIAMS CO/THE,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),SHW UN,1440,905.55
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,AUTOMATIC DATA PROCESSING,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),ADP UW,954,721.08
2/2/2024,2/1/2024 0:00:00,"Friday, February 2",NGT6144,CBRE GROUP INC - A,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),CBRE UN,5046,258.57
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,AMPLIFON SPA,EUR,S01,EURONEXT MILAN,ITALY,AMP IM,1902,89.07
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,STMICROELECTRONICS NV,EUR,S01,EURONEXT MILAN,SWITZERLAND,STMMI IM,9492,128.115
1/30/2024,1/29/2024 0:00:00,"Tuesday, January 30",NGT6144,BROADRIDGE FINANCIAL SOLUTIO,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),BR UN,2067,624.48
2/2/2024,2/1/2024 0:00:00,"Friday, February 2",NGT6144,POOL CORP,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),POOL UW,1155,1131.24
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,ADVANTEST CORP,JPY,S01,TOKYO,JAPAN,6857 JT,76500,19782
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,LOREAL,EUR,S01,EURONEXT PARIS,FRANCE,OR FP,9453,1333.65
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,UCB SA,EUR,S01,EURONEXT BRUSSELS,BELGIUM,UCB BB,16452,282.6
2/15/2024,2/14/2024 0:00:00,"Thursday, February 15",NGT6144,S&P GLOBAL INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),SPGI UN,1005,1263.63
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT6144,HIKMA PHARMACEUTICALS PLC,GBP,S01,LSE SETS,GREAT-BRITAIN,HIK LN,2184,59.82
2/2/2024,2/1/2024 0:00:00,"Friday, February 2",NGT6144,BOOKING HOLDINGS INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),BKNG UW,126,10675.35
2/1/2024,1/31/2024 0:00:00,"Thursday, February 1",NGT6144,ALLEGION PLC,USD,S01,N.Y.S.E.,IRELAND,ALLE UN,3414,371.67
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,TRANE TECHNOLOGIES PLC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),TT UN,675,759.45
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT6144,ADVANTEST CORP,JPY,S01,TOKYO,JAPAN,6857 JT,3000,21210
2/23/2024,2/22/2024 0:00:00,"Friday, February 23",NGT6144,SCHNEIDER ELECTRIC SE,EUR,S01,EURONEXT PARIS,FRANCE,SU FP,321,622.65
1/19/2024,1/18/2024 0:00:00,"Friday, January 19",NGT6144,UNITED RENTALS INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),URI UN,126,1690.11
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,INGERSOLL-RAND INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),IR UN,57888,266.82
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,MARKETAXESS HOLDINGS INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),MKTX UQ,195,817.26
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,MTR CORP,HKD,S01,HONG KONG,HONG KONG,66 HK,28500,78
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,DSV A/S,DKK,S01,COPENHAGEN,DENMARK,DSV DC,1950,3561
2/15/2024,2/14/2024 0:00:00,"Thursday, February 15",NGT6144,CME GROUP INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),CME UW,1035,645.54
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,IBIDEN CO LTD,JPY,S01,TOKYO,JAPAN,4062 JT,2100,24126
2/23/2024,2/22/2024 0:00:00,"Friday, February 23",NGT6144,TORONTO-DOMINION BANK,CAD,S01,TSX Toronto Stock Exchange,CANADA,TD CT,1071,242.79
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT6144,ROBERT HALF INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),RHI UN,738,241.56
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,JOHNSON CONTROLS INTERNATION,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),JCI UN,1467,166.92
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,GILDAN ACTIVEWEAR INC,CAD,S01,TSX Toronto Stock Exchange,CANADA,GIL CT,6519,138.18
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,TIS INC,JPY,S01,TOKYO,JAPAN,3626 JT,3000,10218
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,ROCKWELL AUTOMATION INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),ROK UN,612,912.81
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,LENNOX INTERNATIONAL INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),LII UN,3522,1346.04
1/29/2024,1/26/2024 0:00:00,"Monday, January 29",NGT6144,SHOPIFY INC - CLASS A,CAD,S01,TSX Toronto Stock Exchange,CANADA,SHOP CT,5349,329.04
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,MTR CORP,HKD,S01,HONG KONG,HONG KONG,66 HK,108000,76.65
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,UNICHARM CORP,JPY,S01,TOKYO,JAPAN,8113 JT,3300,15324
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,CHURCH & DWIGHT CO INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),CHD UN,40929,295.83
2/1/2024,1/31/2024 0:00:00,"Thursday, February 1",NGT6144,EDWARDS LIFESCIENCES CORP,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),EW UN,5808,235.41
1/29/2024,1/26/2024 0:00:00,"Monday, January 29",NGT6144,WELLTOWER INC,USD,S62,N.Y.S.E.,UNITED-STATES (U.S.A.),WELL UN,4971,262.17
1/19/2024,1/18/2024 0:00:00,"Friday, January 19",NGT6144,WW GRAINGER INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),GWW UN,69,2616.6
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,EBOS GROUP LTD,NZD,S01,NEW ZEALAND,NEW-ZEALAND,EBO NZ,3159,109.2
1/29/2024,1/29/2024 0:00:00,"Monday, January 29",NGT6144,CONAGRA BRANDS INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),CAG UN,470883,1.05
1/19/2024,1/18/2024 0:00:00,"Friday, January 19",NGT6144,ILLINOIS TOOL WORKS,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),ITW UN,5094,758.34
2/15/2024,2/14/2024 0:00:00,"Thursday, February 15",NGT6144,SYNCHRONY FINANCIAL,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),SYF UN,2715,117.99
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,3I GROUP PLC,GBP,S01,LSE SETS,GREAT-BRITAIN,III LN,46398,73.23
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT6144,TIS INC,JPY,S01,TOKYO,JAPAN,3626 JT,2100,10257
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,EUROFINS SCIENTIFIC,EUR,S01,EURONEXT PARIS,LUXEMBOURG,ERF FP,4428,162.48
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,DEUTSCHE BOERSE AG,EUR,S01,XETRA FRANKFURT,GERMANY,DB1 GY,4557,559.35
2/2/2024,2/1/2024 0:00:00,"Friday, February 2",NGT6144,SHOPIFY INC - CLASS A,CAD,S01,TSX Toronto Stock Exchange,CANADA,SHOP CT,5325,308.1
2/1/2024,1/31/2024 0:00:00,"Thursday, February 1",NGT6144,BOOKING HOLDINGS INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),BKNG UW,123,10522.41
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT6144,SAGE GROUP PLC/THE,GBP,S01,LSE SETS,GREAT-BRITAIN,SGE LN,7452,36.3
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,PAYLOCITY HOLDING CORP,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),PCTY UW,357,473.835
1/30/2024,1/30/2024 0:00:00,"Tuesday, January 30",NGT6144,WEST PHARMACEUTICAL SERVICES,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),WST UN,44499,0.6
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT6144,STEEL DYNAMICS INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),STLD UW,549,393.21
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT6144,BIOMERIEUX,EUR,S01,EURONEXT PARIS,FRANCE,BIM FP,390,309.75
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,CENCORA INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),COR UN,585,692.07
1/29/2024,1/26/2024 0:00:00,"Monday, January 29",NGT6144,TRAVELERS COS INC/THE,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),TRV UN,2055,634.29
1/29/2024,1/26/2024 0:00:00,"Monday, January 29",NGT6144,INTUIT INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),INTU UW,681,1924.08
2/15/2024,2/15/2024 0:00:00,"Thursday, February 15",NGT6144,PPG INDUSTRIES INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),PPG UN,127758,1.95
2/2/2024,2/1/2024 0:00:00,"Friday, February 2",NGT6144,PNC FINANCIAL SERVICES GROUP,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),PNC UN,2838,436.32
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,MARSH & MCLENNAN COS,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),MMC UN,27681,599.49
2/1/2024,2/1/2024 0:00:00,"Thursday, February 1",NGT6144,LAMB WESTON HOLDINGS INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),LW UN,112554,1.08
2/23/2024,2/22/2024 0:00:00,"Friday, February 23",NGT6144,METRO INC/CN,CAD,S01,TSX Toronto Stock Exchange,CANADA,MRU CT,897,218.88
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,CENCORA INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),COR UN,8112,700.41
2/1/2024,1/31/2024 0:00:00,"Thursday, February 1",NGT6144,CROWN CASTLE INC,USD,S62,N.Y.S.E.,UNITED-STATES (U.S.A.),CCI UN,3975,324.75
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,BOOKING HOLDINGS INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),BKNG UW,147,11274.54
2/1/2024,1/31/2024 0:00:00,"Thursday, February 1",NGT6144,BANK OF NOVA SCOTIA,CAD,S01,TSX Toronto Stock Exchange,CANADA,BNS CT,9288,188.61
2/27/2024,2/26/2024 0:00:00,"Tuesday, February 27",NGT6144,SAGE GROUP PLC/THE,GBP,S01,LSE SETS,GREAT-BRITAIN,SGE LN,7452,36.3
1/29/2024,1/29/2024 0:00:00,"Monday, January 29",NGT6144,NOKIA OYJ,EUR,S01,HELSINKI,FINLAND,NOKIA FH,4195206,0.09
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,AVANTOR INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),AVTR UN,5655,69.63
2/22/2024,2/22/2024 0:00:00,"Thursday, February 22",NGT6144,FORTIVE CORP,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),FTV UN,381333,0.24
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,ALCON INC,CHF,S01,SIX Swiss Exchange,SWITZERLAND,ALC SE,2127,201.78
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,BIOMERIEUX,EUR,S01,EURONEXT PARIS,FRANCE,BIM FP,519,306
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,ALCON INC,CHF,S01,SIX Swiss Exchange,SWITZERLAND,ALC SE,1971,199.62
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,SIG GROUP AG,CHF,S01,SIX Swiss Exchange,SWITZERLAND,SIGN SE,11559,51.93
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,DSV A/S,DKK,S01,COPENHAGEN,DENMARK,DSV DC,5685,3385.5
2/2/2024,2/1/2024 0:00:00,"Friday, February 2",NGT6144,NEC CORP,JPY,S01,TOKYO,JAPAN,6701 JT,6900,28749
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,YAMAHA CORP,JPY,S01,TOKYO,JAPAN,7951 JT,7500,10026
2/23/2024,2/22/2024 0:00:00,"Friday, February 23",NGT6144,NXP SEMICONDUCTORS NV,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),NETHERLANDS,NXPI UW,-633,718.5
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,CAPITALAND INTEGRATED COMMER,SGD,S62,SINGAPORE,SINGAPORE,CICT SP,1172700,5.85
2/23/2024,2/22/2024 0:00:00,"Friday, February 23",NGT6144,PENTAIR PLC,USD,S01,N.Y.S.E.,GREAT-BRITAIN,PNR UN,642,225.87
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,HILTON WORLDWIDE HOLDINGS IN,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),HLT UN,1245,562.14
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,KBC GROUP NV,EUR,S01,EURONEXT BRUSSELS,BELGIUM,KBC BB,14829,187.74
2/15/2024,2/14/2024 0:00:00,"Thursday, February 15",NGT6144,ASML HOLDING NV,EUR,S01,EURONEXT AMSTERDAM,NETHERLANDS,ASML NA,882,2560.2
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,SHOPIFY INC - CLASS A,CAD,S01,TSX Toronto Stock Exchange,CANADA,SHOP CT,6420,366.33
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,FACTSET RESEARCH SYSTEMS INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),FDS UN,474,1432.77
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,CRODA INTERNATIONAL PLC,GBP,S01,LSE SETS,GREAT-BRITAIN,CRDA LN,4119,149.1
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,CAN APARTMENT PROP REAL ESTA,CAD,S62,TSX Toronto Stock Exchange,CANADA,CAR-U CT,16731,150.9
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,C.H. ROBINSON WORLDWIDE INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),CHRW UW,3630,224.01
2/1/2024,1/31/2024 0:00:00,"Thursday, February 1",NGT6144,BOOKING HOLDINGS INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),BKNG UW,123,10522.41
2/2/2024,2/1/2024 0:00:00,"Friday, February 2",NGT6144,PENTAIR PLC,USD,S01,N.Y.S.E.,GREAT-BRITAIN,PNR UN,6003,224.43
2/2/2024,2/1/2024 0:00:00,"Friday, February 2",NGT6144,TRUIST FINANCIAL CORP,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),TFC UN,11463,109.5
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,TRANSURBAN GROUP,AUD,S01,AUSTRALIAN S.E.,AUSTRALIA,TCL AT,267177,39.42
2/2/2024,2/1/2024 0:00:00,"Friday, February 2",NGT6144,FACTSET RESEARCH SYSTEMS INC,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),FDS UN,915,1453.71
1/24/2024,1/23/2024 0:00:00,"Wednesday, January 24",NGT6144,TELUS CORP,CAD,S01,TSX Toronto Stock Exchange,CANADA,T CT,7896,74.19
1/19/2024,1/18/2024 0:00:00,"Friday, January 19",NGT6144,HOLOGIC INC,USD,S01,NASDAQ (NMS NATIONAL MKT SYST),UNITED-STATES (U.S.A.),HOLX UW,744,220.65
2/22/2024,2/21/2024 0:00:00,"Thursday, February 22",NGT6144,HELLOFRESH SE,EUR,S01,XETRA FRANKFURT,GERMANY,HFG GY,17346,36.285
2/12/2024,2/9/2024 0:00:00,"Monday, February 12",NGT6144,BRAMBLES LTD,AUD,S01,AUSTRALIAN S.E.,AUSTRALIA,BXB AT,22839,45.45
2/22/2024,1/12/2024 0:00:00,"Thursday, February 22",NGT6144,PNC FINANCIAL SERVICES GROUP,USD,S01,N.Y.S.E.,UNITED-STATES (U.S.A.),PNC UN,173937,4.65
